+-----+---------------------------------------------------------+--------------------------------------------+---------------+
| id  | title                                                   | artist                                     | genre         |
| 351 | My Girl (Acoustic)                                      | The Temptations                            | Soul          |
| 352 | Great Balls of Fire (live)                              | Jerry Lee Lewis                            | Rock and Roll |
| 353 | Tears in Heaven (Live)                                  | Eric Clapton                               | Rock          |
| 354 | Lola                                                    | The Kinks                                  | Rock          |
| 355 | Waterloo Sunset                                         | The Kinks                                  | Rock          |
| 356 | Roundabout                                              | Yes                                        | Rock          |
| 357 | Owner of a Lonely Heart                                 | Yes                                        | Rock          |
| 358 | Take It To The Limit                                    | Eagles                                     | Rock          |
| 359 | Already Gone                                            | Eagles                                     | Rock          |
| 360 | New Kid in Town                                         | Eagles                                     | Rock          |
| 361 | Stairway to Heaven (Live)                               | Led Zeppelin                               | Rock          |
| 362 | Knockin' on Heaven's Door (Live)                        | Bob Dylan                                  | Folk          |
| 363 | Brown Eyed Girl                                         | Van Morrison                               | Rock          |
| 364 | Domino                                                  | Van Morrison                               | Rock          |
| 365 | Moondance                                               | Van Morrison                               | Jazz          |
| 366 | Be My Baby                                              | The Ronettes                               | Pop           |
| 367 | Da Doo Ron Ron                                          | The Crystals                               | Pop           |
| 368 | Will You Love Me Tomorrow                               | Shirelles                                  | Pop           |
| 369 | Up on the Roof                                          | The Drifters                               | Soul          |
| 370 | Love Train                                              | The O'Jays                                 | Soul          |
| 371 | Love on the Brain                                       | Rihanna                                    | R&B           |
| 372 | Real Love                                               | Mary J. Blige                              | R&B           |
| 373 | Creep (Acoustic)                                        | Radiohead                                  | Alternative   |
| 374 | Lovely Day                                              | Bill Withers                               | Soul          |
| 375 | Ain?t No Sunshine                                       | Bill Withers                               | Soul          |
| 376 | Lean on Me                                              | Bill Withers                               | Soul          |
| 377 | Uncle John's Band                                       | Grateful Dead                              | Rock          |
| 378 | Truckin'                                                | Grateful Dead                              | Rock          |
| 379 | Buffalo Stance                                          | Neneh Cherry                               | Pop           |
| 380 | Move Your Body                                          | Marshall Jefferson                         | House         |
| 381 | Planet Rock                                             | Afrika Bambaataa & the Soulsonic Force     | Electro       |
